iter	Passed	Remaining
601	1344	889
602	1346	886
603	1348	883
604	1349	881
605	1351	878
606	1352	875
607	1353	872
608	1355	870
609	1356	867
610	1358	864
611	1360	862
612	1361	859
613	1363	857
614	1364	854
615	1365	851
616	1367	848
617	1368	846
618	1370	843
619	1373	842
620	1375	839
621	1377	836
622	1378	834
623	1379	831
624	1381	828
625	1382	825
626	1383	823
627	1385	820
628	1386	817
629	1388	815
630	1390	813
631	1391	810
632	1392	807
633	1394	804
634	1395	802
635	1396	799
636	1397	796
637	1399	793
638	1400	791
639	1402	788
640	1404	786
641	1406	784
642	1407	781
643	1408	778
644	1409	776
645	1411	773
646	1412	770
647	1414	768
648	1416	765
649	1417	763
650	1419	761
651	1421	758
652	1422	756
653	1424	753
654	1426	751
655	1427	748
656	1428	745
657	1430	743
658	1431	740
659	1433	738
660	1435	736
661	1436	733
662	1438	731
663	1439	728
664	1440	725
665	1442	723
666	1443	720
667	1445	718
668	1450	717
669	1451	715
670	1452	712
671	1454	709
672	1455	707
673	1456	704
674	1458	702
675	1459	699
676	1460	696
677	1462	694
678	1464	692
679	1466	690
680	1467	687
681	1469	685
682	1470	682
683	1472	680
684	1473	677
685	1475	675
686	1477	673
687	1479	670
688	1481	668
689	1482	666
690	1484	663
691	1485	661
692	1486	658
693	1488	656
694	1489	653
695	1490	651
696	1492	648
697	1493	646
698	1495	644
699	1497	641
700	1498	639
701	1500	636
702	1501	634
703	1503	631
704	1504	629
705	1505	626
706	1506	624
707	1508	622
708	1510	620
709	1512	617
710	1513	615
711	1515	612
712	1517	610
713	1518	608
714	1520	605
715	1521	603
716	1523	601
717	1525	599
718	1526	596
719	1527	594
720	1529	591
721	1531	589
722	1532	587
723	1533	584
724	1535	582
725	1536	579
726	1538	577
727	1539	575
728	1541	573
729	1543	570
730	1544	568
731	1546	566
732	1547	563
733	1548	561
734	1549	558
735	1551	556
736	1552	554
737	1554	551
738	1555	549
739	1557	547
740	1558	544
741	1559	542
742	1560	539
743	1561	537
744	1563	535
745	1564	532
746	1565	530
747	1566	527
748	1568	525
749	1569	523
750	1571	521
751	1572	518
752	1574	516
753	1575	514
754	1576	511
755	1578	509
756	1579	506
757	1580	504
758	1581	502
759	1583	500
760	1585	497
761	1587	495
762	1588	493
763	1589	491
764	1590	488
765	1592	486
766	1593	484
767	1594	481
768	1595	479
769	1596	476
770	1598	474
771	1600	472
772	1601	470
773	1602	468
774	1604	465
775	1605	463
776	1606	461
777	1607	458
778	1608	456
779	1609	454
780	1611	451
781	1612	449
782	1613	447
783	1616	445
784	1617	443
785	1618	440
786	1619	438
787	1621	436
788	1622	433
789	1623	431
790	1625	429
791	1626	427
792	1627	424
793	1629	422
794	1630	420
795	1632	418
796	1633	415
797	1634	413
798	1635	411
799	1636	409
800	1637	406
801	1639	404
802	1640	402
803	1641	400
804	1642	397
805	1644	395
806	1646	393
807	1647	391
808	1648	389
809	1649	386
810	1650	384
811	1651	382
812	1653	380
813	1654	378
814	1656	375
815	1658	373
816	1659	371
817	1661	369
818	1662	367
819	1663	365
820	1665	363
821	1666	360
822	1667	358
823	1668	356
824	1669	354
825	1671	352
826	1672	349
827	1674	347
828	1676	345
829	1677	343
830	1678	341
831	1679	339
832	1680	336
833	1682	334
834	1683	332
835	1684	330
836	1685	328
837	1686	326
838	1688	323
839	1690	321
840	1691	319
841	1692	317
842	1693	315
843	1694	313
844	1696	311
845	1697	308
846	1698	306
847	1699	304
848	1700	302
849	1702	300
850	1703	298
851	1705	296
852	1706	294
853	1707	291
854	1709	289
855	1710	287
856	1711	285
857	1712	283
858	1713	281
859	1714	279
860	1715	277
861	1717	274
862	1719	272
863	1721	270
864	1722	268
865	1723	266
866	1724	264
867	1726	262
868	1727	260
869	1728	258
870	1730	256
871	1731	254
872	1733	252
873	1734	250
874	1736	248
875	1737	245
876	1739	243
877	1740	241
878	1741	239
879	1742	237
880	1743	235
881	1744	233
882	1746	231
883	1747	229
884	1748	227
885	1750	225
886	1751	223
887	1753	221
888	1754	219
889	1755	216
890	1757	214
891	1758	212
892	1759	210
893	1760	208
894	1761	206
895	1763	204
896	1765	202
897	1767	200
898	1768	198
899	1770	196
900	1771	194
901	1772	192
902	1774	190
903	1775	188
904	1777	186
905	1778	184
906	1779	182
907	1781	180
908	1783	178
909	1784	176
910	1785	174
911	1786	172
912	1788	170
913	1790	168
914	1791	166
915	1792	164
916	1795	162
917	1799	160
918	1801	158
919	1802	156
920	1803	154
921	1804	152
922	1806	150
923	1808	148
924	1813	147
925	1815	145
926	1816	143
927	1817	141
928	1818	138
929	1820	137
930	1821	135
931	1823	133
932	1825	131
933	1828	129
934	1830	127
935	1831	125
936	1832	123
937	1833	121
938	1835	119
939	1836	117
940	1838	115
941	1840	113
942	1842	111
943	1844	109
944	1846	107
945	1847	105
946	1848	103
947	1849	101
948	1851	99
949	1852	97
950	1855	95
951	1858	93
952	1859	91
953	1861	89
954	1862	87
955	1863	85
956	1864	83
957	1866	81
958	1867	79
959	1869	77
960	1871	75
961	1873	74
962	1875	72
963	1876	70
964	1877	68
965	1878	66
966	1879	64
967	1880	62
968	1883	60
969	1885	58
970	1888	56
971	1890	54
972	1891	52
973	1892	50
974	1893	48
975	1895	46
976	1896	44
977	1897	42
978	1899	40
979	1900	38
980	1903	36
981	1904	34
982	1905	32
983	1907	31
984	1908	29
985	1909	27
986	1910	25
987	1912	23
988	1913	21
989	1915	19
990	1916	17
991	1918	15
992	1920	13
993	1921	11
994	1922	9
995	1924	7
996	1926	5
997	1927	3
998	1928	1
999	1930	0
